Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
M7G Metal,m7g.metal,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.61120
M7G 16xlarge,m7g.16xlarge,256.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.61120
R7G 12xlarge,r7g.12xlarge,384.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,2.57040
C8G 16xlarge,c8g.16xlarge,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.54340
C5A 16xlarge,c5a.16xlarge,128.0 GiB,64 vCPUs,EBS only,20 Gigabit,2.46400
M6G Metal,m6g.metal,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.46400
M6G 16xlarge,m6g.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.46400
C7A 12xlarge,c7a.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.46340
C6A 16xlarge,c6a.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.44800
R7A Eight Extra Large,r7a.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,2.43440
M7I 12xlarge,m7i.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.41920
R6G 12xlarge,r6g.12xlarge,384.0 GiB,48 vCPUs,EBS only,20 Gigabit,2.41920
R5N Eight Extra Large,r5n.8xlarge,256.0 GiB,32 vCPUs,EBS only,25 Gigabit,2.38400
R5B Eight Extra Large,r5b.8xlarge,256.0 GiB,32 vCPUs,EBS only,10 Gigabit,2.38400
C7G 16xlarge,c7g.16xlarge,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.31230
C7G Metal,c7g.metal,128.0 GiB,64 vCPUs,EBS only,30 Gigabit,2.31230
M5 General Purpose 12xlarge,m5.12xlarge,192.0 GiB,48 vCPUs,EBS only,12 Gigabit,2.30400
M6I 12xlarge,m6i.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.30400
M7I-FLEX 12xlarge,m7i-flex.12xlarge,192.0 GiB,48 vCPUs,EBS only,Up to 18.75 Gigabit,2.29820
M6IN Eight Extra Large,m6in.8xlarge,128.0 GiB,32 vCPUs,EBS only,50 Gigabit,2.22770
C6G 16xlarge,c6g.16xlarge,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.17600
C6G Metal,c6g.metal,128.0 GiB,64 vCPUs,EBS only,25 Gigabit,2.17600
M8G 12xlarge,m8g.12xlarge,192.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,2.15420
C7I 12xlarge,c7i.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.14200
R4 High-Memory Eight Extra Large,r4.8xlarge,244.0 GiB,32 vCPUs,EBS only,10 Gigabit,2.12800
R7I Eight Extra Large,r7i.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,2.11680
C6GN 12xlarge,c6gn.12xlarge,96.0 GiB,48 vCPUs,EBS only,75 Gigabit,2.07360
M6A 12xlarge,m6a.12xlarge,192.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.07360
M5A 12xlarge,m5a.12xlarge,192.0 GiB,48 vCPUs,EBS only,10 Gigabit,2.06400
C6I 12xlarge,c6i.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,2.04000
C5 High-CPU 12xlarge,c5.12xlarge,96.0 GiB,48 vCPUs,EBS only,12 Gigabit,2.04000
C7I-FLEX 12xlarge,c7i-flex.12xlarge,96.0 GiB,48 vCPUs,EBS only,Up to 18.75 Gigabit,2.03490
R5 Eight Extra Large,r5.8xlarge,256.0 GiB,32 vCPUs,EBS only,10 Gigabit,2.01600
R6I Eight Extra Large,r6i.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,2.01600
M4 General Purpose Deca Extra Large,m4.10xlarge,160.0 GiB,40 vCPUs,EBS only,10 Gigabit,2.00000
C7GN Eight Extra Large,c7gn.8xlarge,64.0 GiB,32 vCPUs,EBS only,100 Gigabit,1.99680
M5ZN 6xlarge,m5zn.6xlarge,96.0 GiB,24 vCPUs,EBS only,50 Gigabit,1.98200
M7G 12xlarge,m7g.12xlarge,192.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,1.95840
C5N 9xlarge,c5n.9xlarge,96.0 GiB,36 vCPUs,EBS only,50 Gigabit,1.94400
C8G 12xlarge,c8g.12xlarge,96.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,1.90750
M5N Eight Extra Large,m5n.8xlarge,128.0 GiB,32 vCPUs,EBS only,25 Gigabit,1.90400
R8G Eight Extra Large,r8g.8xlarge,256.0 GiB,32 vCPUs,EBS only,15 Gigabit,1.88510
M7A Eight Extra Large,m7a.8xlarge,128.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,1.85470
C5A 12xlarge,c5a.12xlarge,96.0 GiB,48 vCPUs,EBS only,12 Gigabit,1.84800
M6G 12xlarge,m6g.12xlarge,192.0 GiB,48 vCPUs,EBS only,20 Gigabit,1.84800
C6A 12xlarge,c6a.12xlarge,96.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,1.83600
C6IN Eight Extra Large,c6in.8xlarge,64.0 GiB,32 vCPUs,EBS only,50 Gigabit,1.81440
R6A Eight Extra Large,r6a.8xlarge,256.0 GiB,32 vCPUs,EBS only,12.5 Gigabit,1.81440
R5A Eight Extra Large,r5a.8xlarge,256.0 GiB,32 vCPUs,EBS only,Up to 10 Gigabit,1.80800
C7G 12xlarge,c7g.12xlarge,96.0 GiB,48 vCPUs,EBS only,22.5 Gigabit,1.73420
R7G Eight Extra Large,r7g.8xlarge,256.0 GiB,32 vCPUs,EBS only,15 Gigabit,1.71360
X1E Double Extra Large,x1e.2xlarge,244.0 GiB,8 vCPUs,240 GB                 SSD,Up to 10 Gigabit,1.66800
